round,arena,pirate1,pirate2,pirate3,pirate4,fa1,fa2,fa3,fa4,pfa1,pfa2,pfa3,pfa4,nfa1,nfa2,nfa3,nfa4,opening_odds1,opening_odds2,opening_odds3,opening_odds4,closing_odds1,closing_odds2,closing_odds3,closing_odds4,winner
3574,0,7,19,4,13,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,9,6,2,3,11,3
3574,1,18,12,17,14,0,0,0,0,0,0,0,0,0,0,0,0,13,2,3,3,13,2,3,3,4
3574,2,2,16,9,3,0,0,0,0,0,0,0,0,0,0,0,0,13,2,5,4,13,2,6,5,2
3574,3,10,20,1,6,0,0,0,0,0,0,0,0,0,0,0,0,13,10,2,13,13,13,2,13,3
3574,4,8,15,11,5,0,0,0,0,0,0,0,0,0,0,0,0,13,2,11,6,13,2,13,6,2
3795,0,6,18,4,9,-1,2,1,1,0,4,2,1,-1,-2,-1,0,10,5,2,6,13,7,2,7,3
3795,1,19,7,17,8,0,0,4,3,1,1,4,4,-1,-1,0,-1,2,13,2,8,2,13,2,8,3
3795,2,14,13,15,2,0,1,1,2,1,2,2,4,-1,-1,-1,-2,13,13,2,6,13,13,2,6,3
3795,3,20,16,10,3,1,0,-3,1,2,2,0,4,-1,-2,-3,-3,2,2,13,6,2,2,13,7,2
3795,4,1,12,5,11,1,2,-1,2,3,3,0,3,-2,-1,-1,-1,2,5,4,5,2,7,5,7,1
3937,0,19,2,17,4,0,-2,3,3,1,2,5,4,-1,-4,-2,-1,4,13,3,2,4,13,3,2,4
3937,1,5,7,8,1,3,3,3,1,3,3,4,1,0,0,-1,0,3,9,13,2,3,11,13,2,1
3937,2,3,15,10,13,0,2,0,0,1,2,1,2,-1,0,-1,-2,13,2,13,10,13,2,13,13,4
3937,3,20,16,6,14,0,1,-1,0,0,2,0,1,0,-1,-1,-1,4,2,9,4,4,2,11,5,3
3937,4,11,18,9,12,3,2,1,2,3,4,2,2,0,-2,-1,0,6,5,11,2,7,7,13,2,3
3939,0,2,7,9,20,3,2,-1,-1,4,2,1,1,-1,0,-2,-2,4,2,13,2,4,2,13,2,3
3939,1,8,15,16,1,0,0,2,4,2,2,2,4,-2,-2,0,0,13,4,7,2,13,2,9,2,3
3939,2,6,14,5,11,0,3,0,1,1,3,2,1,-1,0,-2,0,7,3,3,4,7,2,3,4,3
3939,3,13,4,18,19,-2,-1,0,0,1,1,3,1,-3,-2,-3,-1,13,13,13,2,13,13,13,2,3
3939,4,10,3,17,12,0,4,6,2,0,4,6,2,0,0,0,0,13,13,2,3,13,13,2,2,4
3983,0,7,13,15,3,-1,1,2,0,1,2,2,2,-2,-1,0,-2,13,13,2,13,13,13,2,13,3
3983,1,2,4,14,9,1,-3,5,3,2,1,5,4,-1,-4,0,-1,5,13,2,5,6,13,2,6,3
3983,2,6,10,17,12,-2,-1,-1,1,0,1,1,2,-2,-2,-2,-1,13,13,2,2,13,13,2,2,3
3983,3,18,8,20,1,-1,2,-1,2,1,5,0,4,-2,-3,-1,-2,13,11,5,2,13,13,6,2,3
3983,4,11,5,16,19,0,0,0,1,2,2,1,1,-2,-2,-1,0,13,13,8,2,13,13,8,2,4
4000,0,19,5,16,20,0,1,3,0,1,1,4,1,-1,0,-1,-1,3,6,3,5,2,6,3,6,2
4000,1,4,11,10,17,3,0,0,2,3,1,0,3,0,-1,0,-1,2,13,13,2,2,13,13,2,4
4000,2,1,7,12,6,4,-1,3,1,4,1,3,2,0,-2,0,-1,2,13,5,6,2,13,7,7,2
4000,3,9,18,2,3,1,3,2,5,1,3,2,6,0,0,0,-1,13,3,2,3,13,3,2,3,3
4000,4,13,14,15,8,0,1,-1,3,1,2,1,4,-1,-1,-2,-1,7,13,2,5,8,13,2,6,3
4476,0,20,12,8,1,-1,5,-3,6,1,5,1,6,-2,0,-4,0,13,8,13,2,13,10,13,2,4
4476,1,2,19,18,6,1,1,1,-1,2,2,4,1,-1,-1,-3,-2,13,2,13,6,13,2,13,9,2
4476,2,10,13,4,14,1,-2,-1,1,1,1,2,1,0,-3,-3,0,12,5,4,2,13,6,4,2,1
4476,3,11,7,3,9,1,-1,3,-1,1,2,3,1,0,-3,0,-2,5,4,2,5,5,4,2,7,3
4476,4,16,15,5,17,2,1,1,6,2,1,2,6,0,0,-1,0,12,2,13,2,13,2,13,2,2
4509,0,6,11,13,1,-1,2,1,-1,0,2,2,2,-1,0,-1,-3,13,12,2,2,13,13,2,2,3
4509,1,10,8,2,3,0,1,3,3,1,4,4,4,-1,-3,-1,-1,13,9,2,3,13,11,2,2,4
4509,2,17,15,7,18,2,1,2,0,3,2,3,3,-1,-1,-1,-3,7,2,6,13,9,2,9,13,4
4509,3,19,20,16,14,2,0,-1,1,3,1,2,2,-1,-1,-3,-1,2,6,5,10,2,9,7,13,4
4509,4,4,12,5,9,-1,1,1,1,1,2,2,2,-2,-1,-1,-1,4,5,2,6,4,6,2,7,3
4511,0,20,19,9,10,1,0,1,0,1,1,1,1,0,-1,0,-1,3,2,13,13,2,2,13,13,1
4511,1,18,15,13,3,0,0,-2,2,3,1,1,4,-3,-1,-3,-2,13,2,9,12,13,2,12,13,2
4511,2,8,16,12,4,-2,5,5,0,2,6,5,2,-4,-1,0,-2,13,2,3,4,13,2,2,5,2
4511,3,6,5,11,14,1,-1,-1,1,1,1,1,3,0,-2,-2,-2,3,4,11,2,3,4,12,2,4
